round,epsilon,opt_order
339,1.1917809934384596,10
340,1.1925885756114818,10
341,1.1933961577845038,10
342,1.1942037399575258,10
343,1.195011322130548,10
344,1.19581890430357,10
345,1.196626486476592,10
346,1.1974340686496143,10
347,1.1982416508226363,10
348,1.1990492329956584,10
349,1.1998568151686806,10
350,1.2006643973417026,10
351,1.2014719795147246,10
352,1.2022795616877469,10
353,1.2030871438607689,10
354,1.2038947260337909,10
355,1.2047023082068131,10
356,1.2055098903798351,10
357,1.2063174725528572,10
358,1.2071250547258794,10
359,1.2079326368989014,10
360,1.2087402190719234,10
361,1.2095478012449457,10
362,1.2103553834179677,10
363,1.2111629655909897,10
364,1.211970547764012,10
365,1.212778129937034,10
366,1.213585712110056,10
367,1.2143932942830782,10
368,1.2152008764561002,10
369,1.2160084586291222,10
370,1.2168160408021444,10
371,1.2176236229751665,10
372,1.2184312051481885,10
373,1.2192387873212107,10
374,1.2200463694942327,10
375,1.2208539516672547,10
376,1.221661533840277,10
377,1.222469116013299,10
378,1.223276698186321,10
379,1.2240842803593432,10
380,1.2248918625323653,10
381,1.2256994447053873,10
382,1.2265070268784095,10
383,1.2273146090514315,10
384,1.2281221912244535,10
385,1.2289297733974758,10
386,1.2297373555704978,10
387,1.2305449377435198,10
388,1.231352519916542,10
389,1.232160102089564,10
390,1.232967684262586,10
391,1.2337752664356083,10
392,1.2345828486086303,10
393,1.2353904307816523,10
394,1.2361980129546746,10
395,1.2370055951276966,10
396,1.2378131773007186,10
397,1.2386207594737408,10
398,1.2394283416467629,10
399,1.2402359238197849,10
400,1.241043505992807,10
401,1.2418510881658291,10
402,1.2426586703388511,10
403,1.2434662525118734,10
404,1.2442738346848954,10
405,1.2450814168579174,10
406,1.2458889990309396,10
407,1.2466965812039617,10
408,1.2475041633769837,10
409,1.248311745550006,10
410,1.249119327723028,10
411,1.24992690989605,10
412,1.2507344920690722,10
413,1.2515420742420942,10
414,1.2523496564151162,10
415,1.2531572385881384,10
416,1.2539648207611604,10
417,1.2547724029341825,10
418,1.2555799851072047,10
419,1.2563875672802267,10
420,1.2571951494532487,10
421,1.258002731626271,10
422,1.258810313799293,10
423,1.259617895972315,10
424,1.2604254781453372,10
425,1.2612330603183592,10
426,1.2620406424913813,10
427,1.2628482246644035,10
428,1.2636558068374255,10
429,1.2644633890104475,10
430,1.2652709711834698,10
431,1.2660785533564918,10
432,1.2668861355295138,10
433,1.267693717702536,10
